transaction_id,amount_usd,merchant_category,card_type,auth_method,channel,device_type,is_foreign_transaction,hours_since_last_txn,txn_count_last_24h,distance_from_home_km,card_age_months,customer_age,account_balance_usd,is_new_merchant,used_vpn,ip_country_mismatch,billing_shipping_mismatch,cvv_retry_count,velocity_score,time_of_day_hour,day_of_week,is_ai_generated_scam_attempt,merchant_risk_score,prior_disputes,is_fraud
17,305.01,Travel,Mastercard,3D Secure,Contactless,Android Phone,False,3.72,4,1.27,42,50,363.07,False,False,False,False,0,22.1,22,1,False,30.6,0,0
18,86.01,Fuel,Visa,3D Secure,POS,ATM Machine,False,2.54,5,28.73,35,56,8721.82,True,False,False,False,0,33.1,11,4,False,17.0,0,0
19,1055.74,Electronics,Visa,No Authentication,POS,iPhone,False,1.48,5,34.34,53,54,5426.47,False,False,False,False,0,26.7,8,5,False,53.8,0,0
20,47.59,Restaurants,Visa,No Authentication,POS,Windows PC,False,0.68,3,3.07,50,32,1959.87,False,False,False,False,0,16.1,16,3,False,5.3,0,0
21,66.04,Gaming,Mastercard,3D Secure,Online,ATM Machine,False,4.1,2,18.48,56,41,1781.15,False,False,False,False,0,0.0,17,0,False,47.1,2,0
22,106.72,Fuel,Mastercard,PIN,Contactless,Android Phone,False,9.86,2,4.78,45,58,5382.7,False,False,False,False,0,12.6,20,5,False,26.6,0,0
23,9.23,Restaurants,Mastercard,OTP,ATM,POS Terminal,False,21.48,2,8.85,39,41,6912.96,False,False,False,False,0,9.0,11,1,False,41.8,0,0
24,57.64,Utilities,Visa,OTP,Online,POS Terminal,False,12.68,2,45.2,45,24,1403.83,True,False,True,False,0,3.7,15,4,False,39.7,0,0
25,251.32,Crypto Exchange,Mastercard,3D Secure,Contactless,Windows PC,False,11.22,4,16.1,38,70,2008.91,False,False,False,False,0,13.8,7,6,False,100.0,1,0
26,85.59,Online Retail,Visa,OTP,Online,iPhone,False,5.23,2,27.54,42,41,1974.58,False,True,False,False,0,14.5,1,6,False,30.7,0,0
27,5.16,Gaming,Visa,PIN,Online,Smart Watch,False,0.74,4,75.64,48,38,25182.93,False,False,False,False,0,41.2,16,6,False,28.5,0,0
28,136.05,Healthcare,Mastercard,3D Secure,Online,Android Phone,False,38.01,3,13.34,54,60,333.32,True,True,False,False,1,8.5,10,4,False,48.1,1,0
29,27.91,Healthcare,Mastercard,PIN,Contactless,POS Terminal,False,8.13,1,60.87,50,44,3269.57,False,False,False,False,0,17.8,4,6,False,33.4,0,0
30,191.11,Groceries,Visa,3D Secure,In-App,iPhone,False,7.8,2,16.96,37,52,5551.57,False,False,True,False,0,22.2,15,4,False,30.4,1,0
31,201.95,Online Retail,Visa,No Authentication,Online,Android Phone,False,4.86,5,52.28,46,63,2465.86,False,False,True,False,0,27.6,15,0,False,15.0,0,0
32,22.47,Online Retail,RuPay,OTP,POS,Mac,False,3.14,2,17.2,55,70,3732.72,False,False,False,False,0,14.3,11,5,False,56.3,0,0
33,87.68,Groceries,Amex,OTP,Online,Android Phone,False,0.93,2,26.66,50,18,1437.28,True,False,False,False,0,16.3,6,2,False,26.9,1,0
34,295.9,Electronics,Mastercard,OTP,POS,iPhone,False,17.57,2,26.36,62,43,886.5,False,False,False,False,1,8.1,10,2,False,57.9,0,0
35,188.74,Online Retail,Visa,3D Secure,Online,Mac,False,18.7,4,45.73,47,65,7788.28,False,False,False,False,0,33.8,14,6,False,23.3,0,0
36,34.39,Fuel,RuPay,Biometric,Contactless,Android Phone,False,11.0,2,50.37,43,73,1362.91,False,False,False,False,0,16.4,10,4,False,32.1,0,0
37,48.63,Groceries,Mastercard,OTP,POS,iPhone,False,9.5,3,27.77,37,75,1653.57,True,False,False,False,0,15.8,9,2,False,16.3,0,0
38,40.32,Gaming,Mastercard,OTP,In-App,Windows PC,False,3.72,1,9.7,47,56,11433.99,True,False,False,False,0,10.6,16,5,False,47.5,0,0
39,37.79,Restaurants,RuPay,OTP,Contactless,Windows PC,False,0.74,5,12.8,46,51,875.88,False,False,False,False,0,52.2,11,3,False,44.3,0,0
40,15.98,Streaming,Visa,Biometric,POS,Android Phone,True,0.66,2,38.32,51,45,408.8,False,False,False,False,0,17.1,11,3,False,28.5,0,0
41,19.92,Utilities,Mastercard,Biometric,POS,Windows PC,False,3.34,3,14.68,59,53,9377.78,True,False,False,False,0,30.1,17,3,False,28.3,1,0
42,138.01,Utilities,Visa,OTP,POS,Android Phone,False,34.81,1,11.1,57,77,839.48,True,False,False,False,1,0.0,3,1,False,17.7,0,0
43,13.39,Gift Cards,Visa,Biometric,Contactless,POS Terminal,False,1.37,7,2.15,51,72,330.99,False,False,False,False,0,33.5,18,1,False,100.0,0,0
44,43.63,Online Retail,Mastercard,No Authentication,Online,POS Terminal,False,9.71,3,4.52,61,39,14776.49,False,False,False,False,0,13.1,10,3,False,17.9,1,0
45,137.02,Electronics,Visa,OTP,Online,Tablet,False,0.39,6,0.38,41,70,2676.61,True,False,False,False,0,43.4,9,4,False,48.0,0,0
46,16.14,Streaming,Mastercard,OTP,POS,POS Terminal,False,11.0,3,33.25,48,59,336.99,True,False,False,False,0,20.4,1,5,False,22.5,0,0
47,2.65,Streaming,Mastercard,PIN,ATM,iPhone,False,42.96,2,6.74,53,31,1788.58,False,False,False,False,0,16.3,16,5,False,19.7,0,0
48,151.14,Restaurants,Visa,OTP,Online,Android Phone,False,8.67,4,28.97,37,67,788.84,False,False,False,False,0,16.6,0,3,False,31.5,0,0
49,16.97,Restaurants,Mastercard,No Authentication,In-App,Android Phone,False,8.63,6,94.27,44,57,373.03,False,False,False,False,0,48.7,14,3,False,22.9,2,0
50,59.53,Utilities,Mastercard,PIN,Online,iPhone,False,8.78,2,75.73,52,67,565.75,False,False,False,False,0,22.9,3,1,False,36.8,1,0
51,91.5,Electronics,Mastercard,3D Secure,ATM,Android Phone,False,3.33,7,16.01,52,78,1658.5,False,False,False,False,0,41.8,12,3,False,44.9,1,0
52,60.93,Groceries,Visa,No Authentication,In-App,POS Terminal,False,3.9,3,21.91,42,75,11119.01,True,False,False,False,1,14.7,4,3,False,35.8,0,0
53,55.33,Groceries,Mastercard,3D Secure,POS,iPhone,False,32.61,4,6.51,41,36,5403.65,True,False,False,False,2,18.0,13,2,False,17.2,0,0
54,225.01,Groceries,Mastercard,3D Secure,ATM,Tablet,False,13.91,4,35.61,52,75,2010.91,False,False,False,True,0,26.7,11,1,False,46.0,0,0
55,120.75,Electronics,Mastercard,PIN,Online,Windows PC,False,8.18,2,62.81,56,68,1495.08,False,False,False,False,0,9.2,22,5,False,80.5,0,0
56,13.71,Gaming,Mastercard,No Authentication,In-App,POS Terminal,False,2.19,0,33.83,41,43,2926.2,False,False,False,False,0,0.0,20,5,False,55.1,0,0
57,29.67,Groceries,Mastercard,3D Secure,Online,Android Phone,False,2.58,5,9.21,48,48,1451.52,True,False,False,False,0,19.9,7,4,False,30.9,0,0
58,4.01,Groceries,Visa,Biometric,Online,iPhone,False,17.83,2,23.61,45,54,1502.5,False,False,False,False,0,7.8,16,3,False,47.4,0,0
59,92.3,Electronics,Visa,3D Secure,Contactless,iPhone,False,11.88,7,10.0,42,24,1511.28,False,False,False,False,0,43.3,19,5,False,65.2,0,0
60,78.63,Healthcare,Amex,OTP,Online,Android Phone,False,0.78,3,12.51,46,40,347.46,True,False,False,False,1,21.4,4,3,False,44.4,2,0
61,95.27,Gaming,Mastercard,3D Secure,Online,Windows PC,False,10.76,3,12.35,48,21,1654.1,False,False,False,False,1,21.5,8,1,False,51.6,0,0
62,45.09,Groceries,Visa,PIN,Online,Windows PC,False,1.55,3,13.65,49,47,2927.43,False,False,False,False,0,15.6,9,3,False,21.2,0,0
63,3.43,Streaming,Mastercard,No Authentication,ATM,Tablet,False,14.66,1,33.08,53,25,2222.77,False,False,False,False,0,11.9,15,6,False,31.2,0,0
64,2396.82,Crypto Exchange,Visa,OTP,ATM,Mac,False,5.37,3,15.8,46,23,2611.03,True,False,False,False,1,11.3,5,5,False,92.0,0,1
65,135.46,Groceries,RuPay,3D Secure,ATM,iPhone,False,0.78,3,7.06,41,43,213.06,False,False,False,False,0,17.7,16,6,False,41.7,0,0
66,73.77,Online Retail,Discover,Biometric,POS,Smart Watch,False,6.3,5,4.65,46,46,2566.73,False,False,True,False,0,26.0,14,3,False,34.0,1,0
67,107.53,Healthcare,Visa,3D Secure,ATM,Android Phone,False,3.62,3,0.07,48,68,707.51,False,True,False,False,0,20.2,4,6,False,58.5,0,0
68,12.71,Utilities,Visa,3D Secure,In-App,Android Phone,False,15.15,3,41.23,47,27,1995.08,False,False,False,False,0,4.7,19,6,False,18.3,0,0
69,42.68,Online Retail,Mastercard,OTP,Online,POS Terminal,False,1.72,4,30.68,44,54,2269.14,False,False,False,False,0,32.1,0,3,False,22.6,0,0
70,76.3,Crypto Exchange,Visa,3D Secure,In-App,Android Phone,True,8.77,4,10.19,49,35,4932.58,True,False,False,False,0,18.5,20,6,False,83.0,0,0
71,30.59,Restaurants,Mastercard,Biometric,Online,Mac,False,3.02,4,8.04,55,30,2645.36,False,False,False,False,3,17.1,7,3,False,37.3,1,0
72,161.52,Crypto Exchange,Visa,PIN,ATM,POS Terminal,False,0.92,4,8.05,68,61,1569.02,False,False,False,False,0,41.2,21,6,False,74.1,0,0
73,102.95,Crypto Exchange,Amex,3D Secure,Online,Android Phone,False,8.63,3,20.81,48,48,4294.61,False,False,False,False,0,7.5,15,2,False,86.4,0,0
74,106.0,Utilities,Discover,No Authentication,POS,iPhone,False,5.49,2,17.76,57,78,3470.51,True,True,False,False,1,19.2,10,0,False,35.7,1,0
75,21.23,Fuel,RuPay,Biometric,Online,Android Phone,False,3.39,2,38.78,43,74,593.62,False,False,False,False,0,10.2,4,5,False,0.0,0,0
76,855.46,Travel,Mastercard,3D Secure,Online,Mac,False,1.02,3,12.89,40,56,9550.83,False,False,False,False,0,44.4,2,3,False,43.8,2,0
77,78.11,Online Retail,Visa,No Authentication,POS,Tablet,False,10.74,3,27.15,47,80,3246.87,False,False,False,False,1,30.0,2,4,False,15.8,0,0
78,345.22,Groceries,RuPay,3D Secure,Online,Mac,False,1.41,1,41.43,46,68,2188.51,True,False,False,False,0,16.3,17,6,False,38.0,0,0
79,86.26,Restaurants,Visa,3D Secure,Contactless,Android Phone,False,0.7,4,74.78,56,21,3970.56,False,False,False,False,0,34.3,17,6,False,41.5,0,0
80,381.32,Travel,Visa,3D Secure,In-App,POS Terminal,False,11.19,2,18.39,47,63,1892.41,True,False,False,False,0,19.6,11,0,False,14.7,0,0
81,265.04,Crypto Exchange,Visa,Biometric,Contactless,iPhone,True,23.27,2,5.45,46,77,2204.69,False,False,False,False,0,17.5,19,1,False,84.9,0,0
82,275.29,Electronics,Mastercard,3D Secure,Online,Tablet,False,2.84,4,31.47,56,80,733.08,False,False,False,False,0,19.9,4,6,False,74.1,3,0
83,52.33,Online Retail,Mastercard,PIN,Contactless,Windows PC,False,10.06,5,36.31,43,44,1675.75,True,False,False,False,0,29.2,13,4,False,46.4,0,0
84,13.57,Online Retail,Visa,PIN,POS,Android Phone,False,1.3,3,11.88,56,55,5071.81,False,False,False,False,1,23.1,19,0,False,29.6,0,0
85,44.24,Restaurants,Visa,No Authentication,ATM,Tablet,False,4.48,2,7.23,44,34,1329.28,False,False,False,False,0,17.0,3,1,False,11.6,0,0
86,37.89,Restaurants,Mastercard,PIN,POS,POS Terminal,False,6.88,5,6.63,33,29,892.98,False,False,False,False,1,25.3,1,2,False,37.7,0,0
87,47.09,Electronics,Mastercard,Biometric,Online,POS Terminal,False,23.06,4,19.19,52,71,3079.87,False,False,False,False,0,18.0,17,4,False,39.9,0,0
88,23.78,Online Retail,Mastercard,3D Secure,Online,Windows PC,False,0.47,3,44.0,37,51,2377.57,False,False,False,False,1,45.6,23,6,True,28.0,0,0
89,30.3,Streaming,Mastercard,3D Secure,POS,iPhone,False,5.6,2,10.35,43,22,3017.34,False,False,False,False,1,0.4,21,5,False,36.3,0,0
90,86.0,Groceries,RuPay,Biometric,POS,Android Phone,True,6.08,6,50.04,46,56,4507.57,False,False,False,False,0,30.1,21,3,False,21.0,0,0
91,134.57,Gift Cards,RuPay,3D Secure,POS,iPhone,False,18.73,7,7.4,38,25,2202.5,False,False,False,False,0,26.9,14,4,False,77.3,0,0
92,13.69,Utilities,Visa,No Authentication,In-App,POS Terminal,False,7.34,2,109.7,46,19,2799.4,False,False,False,False,1,14.5,21,1,False,13.6,0,0
93,6.41,Gaming,RuPay,Biometric,POS,Android Phone,False,4.9,0,0.43,43,80,635.23,False,False,False,False,1,7.6,14,5,False,67.2,0,0
94,7.52,Fuel,Amex,Biometric,Online,Android Phone,False,10.25,3,1.4,47,69,953.74,False,False,False,False,0,18.1,13,4,False,41.6,0,0
95,69.2,Travel,Mastercard,PIN,POS,Android Phone,False,27.99,3,23.08,45,38,2246.11,False,False,False,False,0,14.2,9,3,False,25.8,0,0
96,205.73,Online Retail,Mastercard,PIN,Contactless,Tablet,False,5.95,1,14.59,46,44,177.32,False,False,False,False,0,0.0,15,1,False,14.5,1,0
97,71.63,Fuel,Mastercard,3D Secure,Online,Tablet,False,11.24,4,35.85,48,46,482.57,True,True,False,True,0,30.3,22,1,False,44.5,1,0
98,15.26,Streaming,RuPay,3D Secure,In-App,iPhone,False,7.44,6,8.79,45,28,3901.84,False,False,False,False,0,34.7,0,3,False,38.0,0,0
99,10.67,Gaming,Visa,OTP,In-App,Android Phone,False,7.19,7,19.22,54,36,8939.89,False,False,False,False,0,34.1,15,1,False,74.4,0,0
100,27.33,Fuel,Mastercard,3D Secure,POS,Android Phone,False,3.96,2,6.8,38,30,258.83,False,False,False,False,0,28.4,15,6,False,15.1,0,0
101,14.53,Groceries,Amex,3D Secure,Online,Mac,False,17.47,2,39.39,51,35,9117.21,False,False,False,False,0,7.1,6,3,False,50.0,0,0
102,62.07,Fuel,Visa,PIN,ATM,POS Terminal,False,1.78,2,0.22,45,21,6579.5,False,False,False,False,0,13.0,6,6,False,10.1,0,0
103,238.05,Online Retail,Mastercard,Biometric,Online,Android Phone,False,15.75,4,82.06,52,67,2164.54,False,False,False,False,1,8.6,4,3,False,29.4,1,0
104,34.92,Online Retail,Visa,OTP,Contactless,iPhone,False,0.99,5,36.24,55,48,3093.51,False,False,False,False,1,33.0,9,4,False,39.8,0,0
105,45.18,Online Retail,Amex,PIN,POS,Tablet,False,7.79,6,14.29,28,79,2610.27,False,False,False,False,0,16.1,5,4,False,37.7,0,0
106,110.12,Electronics,Visa,Biometric,Contactless,POS Terminal,False,20.76,1,4.92,50,42,9001.9,False,False,False,False,0,8.2,14,5,False,55.4,0,0
107,5.69,Fuel,Mastercard,Biometric,ATM,Android Phone,False,9.51,3,34.4,46,36,4228.73,False,False,False,False,1,10.3,15,2,False,36.6,0,0
108,60.07,Online Retail,Amex,3D Secure,Online,POS Terminal,False,6.73,7,32.93,43,19,534.42,False,True,False,False,0,20.7,8,4,False,17.2,0,0
109,47.82,Restaurants,Mastercard,PIN,POS,Android Phone,False,17.81,3,16.57,41,18,2893.69,False,False,False,False,0,18.0,2,6,False,34.5,1,0
110,31.57,Utilities,Visa,No Authentication,POS,POS Terminal,False,12.84,4,2.71,50,38,3105.53,False,True,False,False,0,23.2,10,2,False,23.3,0,0
111,15.84,Online Retail,Mastercard,3D Secure,Online,iPhone,False,19.1,3,2.12,51,70,3031.77,True,False,False,False,0,32.6,15,1,False,17.7,0,0
112,431.97,Electronics,Visa,3D Secure,Online,POS Terminal,False,3.17,2,10.13,39,31,1157.76,False,False,False,False,0,16.7,0,4,False,24.4,0,0
113,33.22,Online Retail,Mastercard,PIN,In-App,POS Terminal,False,8.39,2,12.59,51,20,6528.16,False,False,False,False,0,4.6,14,3,False,46.1,0,0
114,170.0,Gift Cards,Visa,Biometric,Online,iPhone,False,7.97,5,15.24,46,60,597.5,False,False,False,True,1,28.9,14,3,False,73.4,0,0
115,211.49,Utilities,Visa,No Authentication,Online,iPhone,False,7.57,4,34.01,40,19,320.76,False,False,False,True,0,25.2,8,5,False,21.9,0,0
116,8.42,Gaming,Visa,No Authentication,POS,Windows PC,False,3.61,6,29.24,47,34,4895.52,False,False,False,False,0,29.2,18,5,False,52.4,0,0
117,21.6,Restaurants,Visa,3D Secure,Contactless,POS Terminal,False,6.73,4,6.16,51,29,4205.33,False,False,False,False,0,34.8,3,3,False,28.9,1,0
118,120.13,Utilities,Mastercard,3D Secure,POS,POS Terminal,False,13.44,4,126.63,28,62,14617.05,True,False,False,False,0,4.0,7,3,False,33.5,0,0
119,21.06,Online Retail,Visa,No Authentication,Online,Android Phone,False,2.31,3,40.15,42,60,460.75,False,False,False,False,0,24.9,20,0,False,17.2,0,0
120,206.47,Restaurants,Mastercard,PIN,Contactless,Windows PC,False,13.0,2,10.45,67,33,1832.74,False,False,False,False,1,10.9,9,3,False,32.8,0,0
121,226.21,Electronics,Mastercard,3D Secure,In-App,POS Terminal,True,30.69,7,7.69,44,47,1178.36,False,False,False,False,1,28.4,8,4,False,43.8,1,0
122,341.36,Restaurants,RuPay,3D Secure,POS,iPhone,False,8.64,2,25.38,56,50,5145.03,False,True,False,False,0,11.2,7,0,False,22.7,0,0
123,221.29,Electronics,Visa,No Authentication,Online,Windows PC,False,0.31,1,69.06,46,31,655.79,True,False,False,False,0,8.3,1,3,False,53.1,1,0
124,32.76,Online Retail,Visa,OTP,Contactless,POS Terminal,False,13.66,2,36.31,58,63,589.14,False,False,False,False,2,9.7,11,3,False,35.3,1,0
125,116.49,Healthcare,Visa,3D Secure,POS,Tablet,False,1.62,1,13.08,52,59,2454.91,False,False,False,False,0,20.0,14,6,False,26.6,0,0
126,44.24,Online Retail,Visa,OTP,Online,Mac,False,6.11,5,17.09,41,53,4162.96,False,False,False,False,0,24.5,12,5,False,20.9,1,0
127,57.68,Restaurants,Mastercard,Biometric,In-App,Android Phone,False,2.98,2,6.75,35,21,475.32,False,False,True,False,1,20.7,7,5,False,25.1,0,0
128,317.44,Restaurants,Amex,OTP,POS,ATM Machine,False,7.7,3,33.14,59,18,1983.89,True,False,False,False,0,20.5,12,2,False,47.6,0,0
129,535.62,Travel,Mastercard,PIN,Contactless,Android Phone,False,12.77,8,6.14,50,60,1045.52,False,False,False,False,0,53.0,15,4,False,50.9,0,0
130,104.75,Groceries,Mastercard,OTP,Contactless,Android Phone,False,0.91,1,2.02,52,28,7344.92,False,False,False,False,0,15.1,9,6,False,19.4,1,0
131,31.58,Utilities,Discover,PIN,Online,iPhone,True,30.13,4,100.15,52,52,1381.56,False,False,False,False,0,21.3,19,0,False,35.6,0,0
132,124.26,Crypto Exchange,Mastercard,PIN,Contactless,Windows PC,False,6.13,3,9.61,60,36,3581.44,False,False,False,False,0,14.7,2,1,False,80.7,0,0
133,26.72,Online Retail,Mastercard,No Authentication,POS,POS Terminal,False,2.25,7,45.56,47,19,843.17,False,False,False,False,0,21.6,17,4,False,61.3,0,0
134,767.02,Electronics,RuPay,3D Secure,Contactless,Mac,False,4.4,1,29.0,41,64,1186.46,False,False,False,False,0,10.9,7,4,False,30.4,1,0
135,149.5,Fuel,Visa,3D Secure,Online,ATM Machine,False,17.24,4,12.32,55,22,707.62,False,False,False,False,0,20.9,17,0,False,39.5,0,0
136,81.27,Fuel,Mastercard,PIN,Online,iPhone,True,20.76,4,27.03,39,23,1544.23,False,False,False,False,0,14.1,19,4,False,23.1,1,0
137,272.55,Electronics,Mastercard,Biometric,In-App,POS Terminal,False,3.22,4,82.43,55,74,6990.6,True,False,False,False,0,11.9,14,5,False,62.0,0,0
138,8.61,Groceries,Amex,No Authentication,Online,POS Terminal,False,1.47,5,14.74,50,49,3767.67,False,False,False,False,0,17.4,17,3,False,18.6,0,0
139,23.34,Electronics,Visa,Biometric,Online,Mac,True,6.96,4,1.45,46,36,2081.3,False,False,False,False,0,17.8,14,3,False,40.9,0,0
140,10.92,Utilities,Mastercard,PIN,Online,POS Terminal,False,2.31,3,5.71,48,31,1427.22,False,False,False,False,0,14.0,8,1,False,22.1,0,0
141,72.86,Restaurants,Mastercard,OTP,In-App,iPhone,False,3.68,2,16.04,38,51,2837.38,True,False,False,False,0,20.6,5,0,False,28.6,0,0
142,85.13,Groceries,Visa,OTP,POS,iPhone,False,11.69,2,25.14,44,24,3870.85,False,False,False,False,0,7.2,15,6,False,41.8,0,0
143,126.76,Gaming,Visa,OTP,Contactless,iPhone,False,9.46,1,13.28,51,29,6717.87,False,False,False,False,0,5.2,18,3,False,49.9,0,0
144,15.52,Groceries,Visa,OTP,In-App,iPhone,False,3.48,2,5.67,58,40,1377.03,False,False,False,False,0,7.0,4,2,False,36.2,0,0
145,122.48,Electronics,Discover,OTP,In-App,iPhone,False,2.54,4,15.35,46,53,1230.02,True,False,False,False,0,31.8,12,4,False,56.0,1,0
146,46.75,Gaming,Visa,3D Secure,Contactless,iPhone,False,5.72,2,11.49,55,58,1407.05,False,False,False,False,0,19.9,1,4,False,43.1,0,0
147,15.92,Online Retail,Visa,PIN,Contactless,Smart Watch,False,2.83,4,5.91,53,72,2105.81,True,False,False,False,0,19.4,6,5,False,19.9,0,0
148,121.82,Gaming,Visa,3D Secure,POS,Windows PC,False,9.77,4,16.49,67,26,9314.58,False,True,False,False,0,13.2,3,5,False,41.3,0,0
149,18.34,Online Retail,Visa,3D Secure,Online,Android Phone,False,8.7,2,68.23,47,81,1432.03,True,False,True,True,0,17.8,4,1,False,18.6,1,1
150,39.77,Online Retail,Visa,3D Secure,POS,Mac,False,2.97,5,10.91,47,50,507.95,True,False,False,False,0,20.3,23,0,False,33.2,0,0
151,7.76,Groceries,RuPay,No Authentication,Online,Android Phone,True,17.32,0,2.18,51,42,3315.01,True,False,False,False,0,3.6,12,6,False,28.4,0,0
152,42.33,Online Retail,Visa,Biometric,In-App,POS Terminal,False,7.22,2,23.14,50,38,3957.18,True,False,False,False,0,13.3,19,2,False,22.6,0,0
153,111.63,Online Retail,Mastercard,No Authentication,In-App,Android Phone,False,5.37,4,50.62,40,42,1530.93,False,False,False,False,0,24.2,1,6,False,26.9,0,0
154,68.81,Utilities,Visa,OTP,Contactless,POS Terminal,False,1.47,2,2.57,40,73,13040.92,False,False,False,False,0,28.9,22,1,False,40.5,0,0
155,59.68,Online Retail,Mastercard,3D Secure,POS,iPhone,False,12.1,2,93.57,48,18,2135.2,False,False,False,False,0,0.1,3,6,False,44.5,0,0
156,157.46,Groceries,Visa,3D Secure,Contactless,ATM Machine,False,19.19,3,88.89,63,45,1250.13,False,False,False,False,0,11.7,6,2,False,12.3,0,0
157,243.5,Groceries,Amex,PIN,POS,Android Phone,False,6.1,0,12.57,55,36,3612.59,False,False,True,False,0,2.2,9,4,False,8.8,0,0
158,37.91,Restaurants,Mastercard,PIN,Contactless,ATM Machine,False,5.9,2,10.8,53,23,1097.0,True,True,False,False,0,8.0,4,6,False,17.1,0,0
159,20.83,Gaming,Visa,3D Secure,Online,iPhone,False,15.22,4,6.6,44,57,26224.03,False,False,False,False,0,18.3,22,2,False,73.5,0,0
160,10.44,Groceries,Amex,3D Secure,Contactless,Android Phone,False,5.46,2,7.69,54,43,2039.48,False,False,False,False,0,12.8,12,4,False,58.2,0,0
161,20.96,Fuel,Mastercard,3D Secure,In-App,Android Phone,False,7.6,6,41.68,51,53,1345.38,False,False,False,False,0,23.6,20,5,False,38.0,1,0
162,115.91,Groceries,Mastercard,PIN,Contactless,Tablet,False,14.03,2,9.95,42,32,3677.6,False,False,False,False,1,0.0,7,0,False,19.6,0,0
163,153.7,Utilities,Visa,OTP,Contactless,POS Terminal,False,2.24,4,1.18,44,66,1715.57,False,False,False,False,1,20.4,6,0,False,31.3,1,0
164,138.27,Healthcare,Amex,3D Secure,POS,iPhone,False,7.93,5,20.48,42,80,389.93,False,False,False,False,0,26.0,16,3,False,17.5,0,0
165,65.49,Restaurants,Visa,Biometric,Online,Windows PC,False,18.92,4,21.14,41,37,406.78,False,True,False,False,0,28.0,18,3,False,34.0,1,0
166,35.91,Utilities,Visa,OTP,POS,Windows PC,False,7.54,2,19.42,32,69,1804.02,False,False,False,False,0,3.6,23,5,False,47.3,0,0
167,24.73,Restaurants,Discover,3D Secure,POS,Android Phone,False,1.27,2,0.93,53,29,2149.41,False,False,False,False,1,30.8,13,1,False,38.3,0,0
168,51.99,Online Retail,Visa,No Authentication,Online,POS Terminal,False,3.23,3,9.6,46,51,1794.5,False,False,False,False,0,10.5,10,4,False,35.0,0,0
169,60.7,Utilities,Visa,Biometric,Contactless,iPhone,False,22.69,6,18.63,44,18,621.83,False,True,False,False,0,36.4,4,0,False,27.3,0,0
170,13.89,Utilities,Mastercard,No Authentication,In-App,Windows PC,False,1.85,6,28.24,52,43,167.91,False,False,False,False,1,32.6,15,0,False,16.9,0,0
